"country","continent","lifeExp","pop","gdpPercap"
"DACS","x",858,869,869
"ADM","x",808,877,877
"MOT","x",31076,163,163
"FNKOS","x",124,930,930
"FDZ","x",47539,93,93
"ADB","x",5354,592,592
"EXRN","x",5138,599,599
"PNK","x",5473,583,583
"OMNI","x",19130,244,244
"BOXX","x",8646,445,445
"PLU","x",3164,708,708
"STQ","x",14604,308,308
"SNET","x",0,948,948
"FTT","x",2882,734,734
"MSR","x",1802,804,804
"BKX","x",7458,492,492
"FREE","x",3222,703,703
"INXT","x",12350,346,346
"UGC","x",3312,697,697
"LIF","x",5200,597,597
"ROBET","x",2162,775,775
"NCC","x",8697,442,442
"AID","x",11262,374,374
"HPC","x",2853,735,735
"ELI","x",7511,490,490
"GLC","x",3403,689,689
"GUP","x",29183,172,172
"AVT","x",0,948,948
"LUNES","x",2050,780,780
"XFC","x",1454,827,827
"GTM","x",0,948,948
"RVT","x",10343,399,399
"TNC","x",15838,286,286
"MVP","x",33960,144,144
"LCS","x",4169,645,645
"BSD","x",8582,448,448
"MAS","x",2423,759,759
"BBN","x",2903,728,728
"CURE","x",8732,441,441
"FLUZ","x",0,948,948
"SPHR","x",1824,799,799
"ELEC","x",6465,537,537
"COVAL","x",10482,393,393
"CHP","x",4520,631,631
"RISE","x",21189,228,228
"BTCZ","x",4320,640,640
"HVN","x",7491,491,491
"VGW","x",1792,806,806
"STK","x",9099,428,428
"WIB","x",15043,296,296
"GEM","x",4,947,947
"EFX","x",0,948,948
"PAYX","x",2070,779,779
"PXG","x",1517,820,820
"DAGT","x",1447,828,828
"DAT","x",32771,151,151
"SAFE","x",1316,843,843
"NBAI","x",1316,842,842
"KARMA","x",1555,817,817
"KT","x",0,948,948
"UBEX","x",42945,104,104
"SLOT","x",335,910,910
"CAPP","x",8155,466,466
"UFR","x",3966,651,651
"MUSIC","x",16608,276,276
"GOT","x",43369,103,103
"HMC","x",3615,674,674
"OXY","x",7981,472,472
"WLO","x",10097,405,405
"TSL","x",1979,788,788
"SKCH","x",2989,721,721
"IDH","x",8896,436,436
"OK","x",54378,84,84
"TIME","x",17041,269,269
"KORE","x",12540,344,344
"DTB","x",4896,614,614
"KRL","x",6949,516,516
"KIND","x",24619,200,200
"XNK","x",4857,616,616
"QBT","x",2901,730,730
"GOLOS","x",809,876,876
"COT","x",37465,128,128
"DOV","x",6189,549,549
"BWK","x",7695,483,483
"MYST","x",11797,365,365
"GEO","x",9832,413,413
"HQX","x",5271,595,595
"ATL","x",4221,643,643
"EKO","x",0,948,948
"TOA","x",1381,834,834
"GIC","x",1034,859,859
"TRST","x",17288,262,262
"FLIXX","x",5810,569,569
"PTOY","x",18190,251,251
"BANCA","x",23257,216,216
"BCY","x",6210,548,548
"DATX","x",38333,122,122
"ZLA","x",3007,718,718
"SIB","x",572,897,897
"TKS","x",8549,450,450
"SUSD","x",9802,415,415
"PIRL","x",6797,519,519
"TFL","x",2798,742,742
"SCR","x",8414,455,455
"STX","x",13582,323,323
"PepeCoin","x",10810,383,383
"HKN","x",10399,397,397
"PRA","x",1859,797,797
"CXO","x",4600,626,626
"OLE","x",0,948,948
"SWC","x",6554,530,530
"SERV","x",812,873,873
"PYN","x",3267,700,700
"BTT","x",2160,776,776
"WIX","x",1389,832,832
"CEN","x",14448,309,309
"PRIX","x",3551,678,678
"TOL","x",2424,758,758
"GBT","x",6969,515,515
"MNX","x",10264,401,401
"XHI","x",1459,826,826
"PCH","x",293,913,913
"ERO","x",1095,853,853
"SWT","x",6643,525,525
"UCASH","x",0,948,948
"LION","x",7681,484,484
"NKC","x",2207,769,769
"LIKE","x",3079,713,713
"DEV","x",9595,420,420
"CBC","x",12083,355,355
"LTHN","x",5021,610,610
"RED","x",1915,794,794
"CAN","x",15162,293,293
"NOTE","x",7167,509,509
"XSG","x",1054,856,856
"INSTAR","x",5559,577,577
"NPXSXEM","x",57929,77,77
"XTC","x",5523,580,580
"MYB","x",6740,521,521
"TTT","x",0,948,948
"BBC","x",50899,88,88
"SNTR","x",9957,410,410
"SHND","x",812,872,872
"MNC","x",0,948,948
"NVC","x",0,948,948
"PEDI","x",297,912,912
"NRVE","x",3919,658,658
"EXCL","x",11051,378,378
"BEZ","x",4458,635,635
"POLL","x",8093,469,469
"IPL","x",5831,568,568
"ABY","x",16147,281,281
"TIPS","x",14,946,946
"DAV","x",21,944,944
"BLUE","x",14251,315,315
"OLT","x",7249,503,503
"SENC","x",3770,666,666
"DTH","x",5941,562,562
"TIX","x",17247,264,264
"LATX","x",19436,241,241
