"country","continent","lifeExp","pop","gdpPercap"
"PTOY","x",18190,765,765
"BANCA","x",23257,766,766
"BCY","x",6210,767,767
"DATX","x",38333,768,768
"ZLA","x",3007,769,769
"SIB","x",572,770,770
"TKS","x",8549,771,771
"SUSD","x",9802,772,772
"PIRL","x",6797,773,773
"TFL","x",2798,774,774
"SCR","x",8414,775,775
"STX","x",13582,776,776
"PepeCoin","x",10810,777,777
"HKN","x",10399,778,778
"PRA","x",1859,779,779
"CXO","x",4600,780,780
"OLE","x",0,781,781
"SWC","x",6554,782,782
"SERV","x",812,783,783
"PYN","x",3267,784,784
"BTT","x",2160,785,785
"WIX","x",1389,786,786
"CEN","x",14448,787,787
"PRIX","x",3551,788,788
"TOL","x",2424,789,789
"GBT","x",6969,790,790
"MNX","x",10264,791,791
"XHI","x",1459,792,792
"PCH","x",293,793,793
"ERO","x",1095,794,794
"SWT","x",6643,795,795
"UCASH","x",0,796,796
"LION","x",7681,797,797
"NKC","x",2207,798,798
"LIKE","x",3079,799,799
"DEV","x",9595,800,800
"CBC","x",12083,801,801
"LTHN","x",5021,802,802
"RED","x",1915,803,803
"CAN","x",15162,804,804
"NOTE","x",7167,805,805
"XSG","x",1054,806,806
"INSTAR","x",5559,807,807
"NPXSXEM","x",57929,808,808
"XTC","x",5523,809,809
"MYB","x",6740,810,810
"TTT","x",0,811,811
"BBC","x",50899,812,812
"SNTR","x",9957,813,813
"SHND","x",812,814,814
"MNC","x",0,815,815
"NVC","x",0,816,816
"PEDI","x",297,817,817
"NRVE","x",3919,818,818
"EXCL","x",11051,819,819
"BEZ","x",4458,820,820
"POLL","x",8093,821,821
"IPL","x",5831,822,822
"ABY","x",16147,823,823
"TIPS","x",14,824,824
"DAV","x",21,825,825
"BLUE","x",14251,826,826
"OLT","x",7249,827,827
"SENC","x",3770,828,828
"DTH","x",5941,829,829
"TIX","x",17247,830,830
"LATX","x",19436,831,831
"DOPE","x",22935,832,832
"BNTY","x",9443,833,833
"IQN","x",2121,834,834
"MTC","x",2040,835,835
"ADS","x",3144,836,836
"AT","x",1117,837,837
"OWN","x",12128,838,838
"XCASH","x",1808,839,839
"NAVY","x",543,840,840
"ZXC","x",12197,841,841
"RPM","x",3504,842,842
"AAC","x",8271,843,843
"SYNX","x",2933,844,844
"COFI","x",5049,845,845
"TGAME","x",2828,846,846
"UQC","x",10759,847,847
"VRM","x",11213,848,848
"SRCOIN","x",747,849,849
"SDA","x",924,850,850
"IFOOD","x",88,851,851
"YOC","x",47917,852,852
"PHI","x",2449,853,853
"TRTT","x",2705,854,854
"ESS","x",14424,855,855
"THRT","x",3887,856,856
"HOLD","x",8279,857,857
"CTC","x",92,858,858
"FOXT","x",10185,859,859
"0xBTC","x",147,860,860
"BIR","x",1687,861,861
"NBC","x",0,862,862
"IOP","x",9058,863,863
"SVD","x",8353,864,864
"HWC","x",2835,865,865
"IETH","x",2165,866,866
"ACAT","x",16357,867,867
"PAT","x",52786,868,868
"RATING","x",3184,869,869
"PINK","x",12644,870,870
"CPC","x",571,871,871
"SNOV","x",8933,872,872
"ERT","x",3502,873,873
"ARY","x",2375,874,874
"COIN","x",5085,875,875
"TDP","x",27268,876,876
"SEQ","x",5635,877,877
"USNBT","x",14669,878,878
"NIO","x",4222,879,879
"2GIVE","x",4480,880,880
"XMCT","x",6708,881,881
"MLC","x",3872,882,882
"CMCT","x",4602,883,883
"FLP","x",0,884,884
"IXT","x",12295,885,885
"OWC","x",2188,886,886
"X8X","x",3687,887,887
"BITX","x",5379,888,888
"BERRY","x",12449,889,889
"LEDU","x",8489,890,890
"BOE","x",3492,891,891
"FACE","x",3362,892,892
"MTX","x",1823,893,893
"UFO","x",188,894,894
"ABX","x",1862,895,895
"IDXM","x",35876,896,896
"ARG","x",1347,897,897
"LABX","x",3880,898,898
"XBC","x",5397,899,899
"OPTI","x",1547,900,900
"GBX","x",11405,901,901
"DXT","x",41,902,902
"NXC","x",5642,903,903
"BRK","x",3962,904,904
"BRX","x",3962,905,905
"MNC","x",1322,906,906
"PGN","x",918,907,907
"1WO","x",6357,908,908
"PROC","x",4080,909,909
"EBTC","x",26821,910,910
"XBI","x",2223,911,911
"PUT","x",26547,912,912
"SHP","x",0,913,913
"SPRTS","x",710,914,914
"PKT","x",6644,915,915
"MVC","x",1417,916,916
"ZIPT","x",7427,917,917
"ESN","x",1811,918,918
"BEE","x",32608,919,919
"BELA","x",7848,920,920
"RET","x",8622,921,921
"ARB","x",1797,922,922
"ORS","x",7556,923,923
"BETR","x",2232,924,924
"INCX","x",13523,925,925
"HBZ","x",63,926,926
"UCN","x",14759,927,927
"KRB","x",1637,928,928
"NEOS","x",26649,929,929
"UBC","x",14298,930,930
"WIRE","x",6126,931,931
"BETHER","x",16665,932,932
"CCX","x",2004,933,933
"PLTC","x",6916,934,934
"ENRG","x",5658,935,935
"APH","x",11931,936,936
"TCC","x",3039,937,937
"EGC","x",7197,938,938
"GXX","x",4721,939,939
"VME","x",4131,940,940
"J8T","x",1906,941,941
"RYO","x",810,942,942
"OMX","x",37860,943,943
"LPC","x",4223,944,944
"OOT","x",3194,945,945
"EL","x",574,946,946
"GIO","x",3869,947,947
"BEAT","x",2311,948,948
"PARETO","x",7827,949,949
"ATB","x",2675,950,950
"WISH","x",5960,951,951
"FSBT","x",0,952,952
"BTXC","x",1009,953,953
"CL","x",2935,954,954
"KWATT","x",7886,955,955
"HER","x",4826,956,956
"FREC","x",1473,957,957
"VULC","x",2566,958,958
"USDS","x",2962,959,959
"DIT","x",3638,960,960
"ATMI","x",12233,961,961
"SCC","x",3520,962,962
"METM","x",7952,963,963
"LRM","x",2167,964,964
"IND","x",8243,965,965
"MCW","x",90,966,966
"JSE","x",5441,967,967
"PASS","x",0,968,968
"FYP","x",4526,969,969
"DCTO","x",1979,970,970
"PLAY","x",3557,971,971
"EBST","x",13027,972,972
"PTT","x",2093,973,973
"BBP","x",987,974,974
"AEN","x",2919,975,975
"TENA","x",385,976,976
"AUC","x",8238,977,977
"JET","x",6486,978,978
"PYLNT","x",2800,979,979
"AUX","x",4379,980,980
